07-09 14:58:34.929 11040 11070 D OneSignal: OneSignal SDK initialization already completed.
07-09 14:58:35.217 11040 11070 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.swmansion.rnscreens.q
07-09 14:58:35.218 11040 11069 I zygote  : Deoptimizing void com.facebook.react.uimanager.x0.e(java.util.Map, java.util.Map) due to JIT inline cache
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18133)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:18920)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4236)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4022)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.draw(View.java:19195)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at com.android.internal.policy.DecorView.draw(DecorView.java:788)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:18142)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ThreadedRenderer.updateViewTreeDisplayList(ThreadedRenderer.java:669)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ThreadedRenderer.updateRootDisplayList(ThreadedRenderer.java:675)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ThreadedRenderer.draw(ThreadedRenderer.java:783)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewRootImpl.draw(ViewRootImpl.java:2992)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewRootImpl.performDraw(ViewRootImpl.java:2806)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewRootImpl.performTraversals(ViewRootImpl.java:2359)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewRootImpl.doTraversal(ViewRootImpl.java:1392)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.ViewRootImpl$TraversalRunnable.run(ViewRootImpl.java:6752)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.Choreographer$CallbackRecord.run(Choreographer.java:911)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.Choreographer.doCallbacks(Choreographer.java:723)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.Choreographer.doFrame(Choreographer.java:658)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.view.Choreographer$FrameDisplayEventReceiver.run(Choreographer.java:897)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.os.Handler.handleCallback(Handler.java:790)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.os.Handler.dispatchMessage(Handler.java:99)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.os.Looper.loop(Looper.java:164)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at android.app.ActivityThread.main(ActivityThread.java:6494)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at java.lang.reflect.Method.invoke(Native Method)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:438)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:807)
07-09 14:58:35.526 11040 11040 E AndroidRuntime: Caused by: java.lang.NoSuchFieldException: fill
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at java.lang.Class.getField(Class.java:1601)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        at com.horcrux.svg.b0.X(Unknown Source:56)
07-09 14:58:35.526 11040 11040 E AndroidRuntime:        ... 129 more
07-09 14:58:35.551  1600  1796 W ActivityManager:   Force finishing activity com.menneapp/.MainActivity
07-09 14:58:35.603  1600  1614 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.DROPBOX_ENTRY_ADDED flg=0x10 (has extras) 
} to com.google.android.gms/.stats.service.DropBoxEntryAddedReceiver
07-09 14:58:35.603  1600  1614 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.DROPBOX_ENTRY_ADDED flg=0x10 (has extras) 
} to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
07-09 14:58:35.605  1600  1615 I ActivityManager: Showing crash dialog for package com.menneapp u0
07-09 14:58:35.709  1401 16446 D gralloc_ranchu: gralloc_alloc: Creating ashmem region of size 2654208
07-09 14:58:35.762  1600  1615 W Looper  : Dispatch took 109ms on android.ui, h=Handler (android.view.Choreographer$FrameHandler) {26831a8} cb=android.view.Choreographer$FrameDisplayEventReceiver@56e84c1 msg=0
07-09 14:58:35.732  1401 16446 I chatty  : uid=1000(system) HwBinder:1401_3 identical 1 line
07-09 14:58:35.749  1401 16446 D gralloc_ranchu: gralloc_alloc: Creating ashmem region of size 2654208
07-09 14:58:35.774  1600  6708 I zygote  : android::hardware::configstore::V1_0::ISurfaceFlingerConfigs::hasWideColorDisplay retrieved: 0
07-09 14:58:35.774  1600  6708 I OpenGLRenderer: Initialized EGL, version 1.4
07-09 14:58:35.774  1600  6708 D OpenGLRenderer: Swap behavior 1
07-09 14:58:35.781  1600  6708 W OpenGLRenderer: Failed to choose config with EGL_SWAP_BEHAVIOR_PRESERVED, retrying without...
07-09 14:58:35.781  1600  6708 D OpenGLRenderer: Swap behavior 0
07-09 14:58:35.787  1600  6708 D EGL_emulation: eglCreateContext: 0xaa2fd260: maj 2 min 0 rcv 2
07-09 14:58:35.804  1600  6708 D EGL_emulation: eglMakeCurrent: 0xaa2fd260: ver 2 0 (tinfo 0x92f8ce20)
07-09 14:58:36.062  1600  1614 W ActivityManager: Activity pause timeout for ActivityRecord{5553421 u0 com.menneapp/.MainActivity t90 f}
07-09 14:58:35.862  1600  6708 D EGL_emulation: eglMakeCurrent: 0xaa2fd260: ver 2 0 (tinfo 0x92f8ce20)
07-09 14:58:36.098  1401 16446 D gralloc_ranchu: gralloc_alloc: Creating ashmem region of size 8298496
07-09 14:58:36.210  1401 16446 I chatty  : uid=1000(system) HwBinder:1401_3 identical 1 line
07-09 14:58:36.302  1401 16446 D gralloc_ranchu: gralloc_alloc: Creating ashmem region of size 8298496
07-09 14:58:36.334  1411  1411 D SurfaceFlinger: duplicate layer name: changing com.google.android.apps.nexuslauncher/com.google.android.apps.nexuslauncher.NexusLauncherActivity to com.google.android.apps.nexuslauncher/com.google.android.apps.nexuslauncher.NexusLauncherActivity#1
07-09 14:58:36.343  1401 16446 D gralloc_ranchu: gralloc_alloc: Creating ashmem region of size 8298496
07-09 14:58:36.398  1401  1401 D gralloc_ranchu: gralloc_alloc: Creating ashmem region of size 8298496
07-09 14:58:36.426  7815 23446 D EGL_emulation: eglMakeCurrent: 0xaa585180: ver 2 0 (tinfo 0xaa5832b0)
07-09 14:58:36.428  1401  1401 D gralloc_ranchu: gralloc_alloc: Creating ashmem region of size 8298496
07-09 14:58:36.431  1600  1615 W Looper  : Dispatch took 667ms on android.ui, h=Handler (android.view.Choreographer$FrameHandler) {26831a8} cb=android.view.Choreographer$FrameDisplayEventReceiver@56e84c1 msg=0
07-09 14:58:36.431  1600  1615 I Choreographer: Skipped 34 frames!  The application may be doing too much work on its main thread.
07-09 14:58:36.533  1600  1615 W Looper  : Dispatch took 103ms on android.ui, h=Handler (android.view.Choreographer$FrameHandler) {26831a8} cb=android.view.Choreographer$FrameDisplayEventReceiver@56e84c1 msg=0
07-09 14:58:36.563  2122  2228 D EGL_emulation: eglMakeCurrent: 0xaa5867a0: ver 2 0 (tinfo 0xaa583b20)
07-09 14:58:36.575  7815  7815 W A       : Can't get WAA status for Mavatar!
07-09 14:58:36.575  7815  7815 W A       : java.lang.NullPointerException: Attempt to invoke virtual method 'java.lang.Class java.lang.Object.getClass()' on a null object reference
07-09 14:58:36.575  7815  7815 W A       :      at com.google.apps.tiktok.dataservice.z.b(PG:1)
07-09 14:58:36.575  7815  7815 W A       :      at com.google.apps.tiktok.dataservice.at.a(PG:1)
07-09 14:58:36.575  7815  7815 W A       :      at com.google.apps.tiktok.tracing.ec.a(PG:2)
07-09 14:58:36.575  7815  7815 W A       :      at com.google.common.w.a.aj.a(PG:2)
07-09 14:58:36.575  7815  7815 W A       :      at com.google.common.w.a.ac.apply(PG:1)
07-09 14:58:36.575  7815  7815 W A       :      at com.google.common.w.a.h.d(PG:2)
07-09 14:58:36.575  7815  7815 W A       :      at com.google.common.w.a.j.run(PG:9)
07-09 14:58:36.575  7815  7815 W A       :      at com.google.common.w.a.bf.execute(PG:1)
07-09 14:58:36.575  7815  7815 W A       :      at com.google.common.w.a.d.i(PG:1)
07-09 14:58:36.575  7815  7815 W A       :      at com.google.common.w.a.d.l(PG:12)
07-09 14:58:36.575  7815  7815 W A       :      at com.google.common.w.a.d.n(PG:2)
07-09 14:58:36.575  7815  7815 W A       :      at com.google.common.w.a.i.f(PG:1)
07-09 14:58:36.575  7815  7815 W A       :      at com.google.common.w.a.j.run(PG:12)
07-09 14:58:36.575  7815  7815 W A       :      at com.google.android.libraries.i.ai.run(PG:1)
07-09 14:58:36.575  7815  7815 W A       :      at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1162)
07-09 14:58:36.575  7815  7815 W A       :      at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:636)
07-09 14:58:36.575  7815  7815 W A       :      at com.google.android.libraries.i.f.run(PG:2)
07-09 14:58:36.575  7815  7815 W A       :      at com.google.android.libraries.i.t.run(PG:4)
07-09 14:58:36.575  7815  7815 W A       :      at java.lang.Thread.run(Thread.java:764)
07-09 14:58:36.611  1600  5990 I WifiService: getWifiEnabledState uid=10032
07-09 14:58:36.635  7815  7937 W A       : Queue length for executor EventBus is now 11. Perhaps some tasks are too long, or the pool is too small.
07-09 14:58:36.648  1600  5990 I WifiService: getWifiEnabledState uid=10032
07-09 14:58:36.663  1600  5990 I WifiService: getWifiEnabledState uid=10032
07-09 14:58:36.986 11040 11093 D OneSignal: UserStateSynchronizer internalSyncUserState from session call: true jsonBody: {"app_id":"0"}
07-09 14:58:36.988 11040 11120 D OneSignal: OneSignalRestClient: Making request to: https://api.onesignal.com/players/0/on_session
